date,region,temperature_c,energy_kwh,season
2020-03-27,North,31.7,237.5,Spring
2020-03-28,North,28.4,134.8,Spring
2020-03-29,North,30.1,181.8,Spring
2020-03-30,North,27.9,117.9,Spring
2020-03-31,North,31.4,228.9,Spring
2020-04-01,North,28.5,127.4,Spring
2020-04-02,North,26.4,91.9,Spring
2020-04-03,North,26.2,82.0,Spring
2020-04-04,North,27.1,101.7,Spring
2020-04-05,North,28.3,133.1,Spring
2020-04-06,North,27.8,120.1,Spring
2020-04-07,North,27.0,101.2,Spring
2020-04-08,North,28.7,137.7,Spring
2020-04-09,North,25.9,84.5,Spring
2020-04-10,North,29.8,173.2,Spring
2020-04-11,North,28.6,133.5,Spring
2020-04-12,North,29.8,168.1,Spring
2020-04-13,North,30.1,185.3,Spring
2020-04-14,North,27.0,103.6,Spring
2020-04-15,North,30.5,193.3,Spring
2020-04-16,North,33.3,304.0,Spring
2020-04-17,North,27.2,97.6,Spring
2020-04-18,North,29.6,167.6,Spring
2020-04-19,North,27.5,112.4,Spring
2020-04-20,North,25.5,77.9,Spring
2020-04-21,North,33.3,305.0,Spring
2020-04-22,North,25.2,73.7,Spring
2020-04-23,North,28.4,135.3,Spring
2020-04-24,North,28.2,129.4,Spring
2020-04-25,North,26.4,86.8,Spring
2020-04-26,North,27.5,109.0,Spring
2020-04-27,North,27.7,118.0,Spring
2020-04-28,North,30.5,199.9,Spring
2020-04-29,North,28.4,124.9,Spring
2020-04-30,North,26.2,81.1,Spring
2020-05-01,North,29.9,174.5,Spring
2020-05-02,North,25.9,75.9,Spring
2020-05-03,North,24.6,53.0,Spring
2020-05-04,North,27.7,110.7,Spring
2020-05-05,North,24.6,68.7,Spring
2020-05-06,North,27.4,103.2,Spring
2020-05-07,North,23.2,51.7,Spring
2020-05-08,North,25.5,81.8,Spring
2020-05-09,North,21.9,47.7,Spring
2020-05-10,North,24.4,65.1,Spring
2020-05-11,North,25.0,67.1,Spring
2020-05-12,North,28.8,146.0,Spring
2020-05-13,North,26.5,91.4,Spring
2020-05-14,North,23.0,48.1,Spring
2020-05-15,North,22.7,47.2,Spring
2020-05-16,North,21.5,48.7,Spring
2020-05-17,North,26.5,96.4,Spring
2020-05-18,North,25.8,77.0,Spring
2020-05-19,North,24.6,63.9,Spring
2020-05-20,North,28.7,140.9,Spring
2020-05-21,North,23.4,52.9,Spring
2020-05-22,North,25.9,77.8,Spring
2020-05-23,North,24.8,61.5,Spring
2020-05-24,North,24.0,57.6,Spring
2020-05-25,North,23.2,55.7,Spring
2020-05-26,North,25.3,70.0,Spring
2020-05-27,North,22.6,48.8,Spring
2020-05-28,North,24.0,55.4,Spring
2020-05-29,North,26.2,90.9,Spring
2020-05-30,North,23.6,55.4,Spring
2020-05-31,North,26.9,99.2,Spring
2020-06-01,North,24.4,58.4,Summer
2020-06-02,North,21.1,54.5,Summer
2020-06-03,North,20.8,54.1,Summer
2020-06-04,North,21.8,54.5,Summer
2020-06-05,North,20.9,58.0,Summer
2020-06-06,North,18.6,70.5,Summer
2020-06-07,North,21.3,52.5,Summer
2020-06-08,North,20.0,54.7,Summer
2020-06-09,North,20.2,55.1,Summer
2020-06-10,North,20.3,54.1,Summer
2020-06-11,North,20.3,53.6,Summer
2020-06-12,North,19.5,65.8,Summer
2020-06-13,North,17.4,97.3,Summer
2020-06-14,North,20.2,58.6,Summer
2020-06-15,North,22.6,54.7,Summer
2020-06-16,North,21.3,48.0,Summer
2020-06-17,North,19.7,63.1,Summer
2020-06-18,North,22.0,48.0,Summer
2020-06-19,North,20.1,58.4,Summer
2020-06-20,North,15.3,143.9,Summer
2020-06-21,North,16.7,101.2,Summer
2020-06-22,North,22.1,48.3,Summer
2020-06-23,North,17.5,87.2,Summer
2020-06-24,North,17.7,80.6,Summer
2020-06-25,North,20.6,55.8,Summer
2020-06-26,North,20.1,54.4,Summer
2020-06-27,North,19.6,62.3,Summer
2020-06-28,North,18.3,76.8,Summer
2020-06-29,North,16.5,108.2,Summer
2020-06-30,North,20.3,59.5,Summer
2020-07-01,North,15.7,135.8,Summer
2020-07-02,North,16.5,117.9,Summer
2020-07-03,North,15.7,129.7,Summer
2020-07-04,North,18.4,73.5,Summer
2020-07-05,North,18.8,75.6,Summer
2020-07-06,North,17.2,93.7,Summer
2020-07-07,North,17.9,81.9,Summer
2020-07-08,North,16.9,99.9,Summer
2020-07-09,North,16.2,116.3,Summer
2020-07-10,North,17.3,94.8,Summer
2020-07-11,North,15.7,127.3,Summer
2020-07-12,North,13.6,192.9,Summer
2020-07-13,North,14.8,153.3,Summer
2020-07-14,North,16.1,119.8,Summer
2020-07-15,North,20.1,60.7,Summer
2020-07-16,North,16.4,110.4,Summer
2020-07-17,North,14.8,156.3,Summer
2020-07-18,North,14.7,151.2,Summer
2020-07-19,North,15.0,143.8,Summer
2020-07-20,North,14.6,162.8,Summer
2020-07-21,North,15.3,141.3,Summer
2020-07-22,North,14.0,183.9,Summer
2020-07-23,North,11.5,273.2,Summer
2020-07-24,North,18.1,80.3,Summer
2020-07-25,North,15.3,141.2,Summer
2020-07-26,North,15.8,126.6,Summer
2020-07-27,North,16.7,102.7,Summer
2020-07-28,North,12.4,233.9,Summer
2020-07-29,North,17.1,94.4,Summer
2020-07-30,North,11.0,288.8,Summer
2020-07-31,North,11.9,249.3,Summer
2020-08-01,North,13.9,182.3,Summer
2020-08-02,North,14.8,158.0,Summer
2020-08-03,North,13.5,198.4,Summer
2020-08-04,North,11.9,258.8,Summer
2020-08-05,North,11.4,272.3,Summer
2020-08-06,North,14.1,171.8,Summer
2020-08-07,North,13.0,214.9,Summer
2020-08-08,North,14.5,163.7,Summer
2020-08-09,North,12.0,248.9,Summer
2020-08-10,North,11.4,276.5,Summer
2020-08-11,North,12.4,236.4,Summer
2020-08-12,North,11.4,270.5,Summer
2020-08-13,North,13.2,205.4,Summer
2020-08-14,North,11.1,292.3,Summer
2020-08-15,North,12.0,247.6,Summer
2020-08-16,North,8.7,405.4,Summer
2020-08-17,North,11.4,267.8,Summer
2020-08-18,North,10.2,333.1,Summer
2020-08-19,North,11.3,285.8,Summer
2020-08-20,North,5.8,580.5,Summer
2020-08-21,North,7.3,478.2,Summer
2020-08-22,North,9.3,379.7,Summer
2020-08-23,North,8.8,397.0,Summer
2020-08-24,North,9.1,379.9,Summer
2020-08-25,North,12.4,234.9,Summer
2020-08-26,North,10.4,319.4,Summer
2020-08-27,North,10.7,304.2,Summer
2020-08-28,North,13.3,199.4,Summer
2020-08-29,North,13.4,198.5,Summer
2020-08-30,North,9.1,384.4,Summer
2020-08-31,North,8.2,432.2,Summer
2020-09-01,North,10.5,310.2,Autumn
2020-09-02,North,11.5,275.6,Autumn
2020-09-03,North,9.8,342.9,Autumn
2020-09-04,North,8.7,408.0,Autumn
2020-09-05,North,10.0,339.2,Autumn
2020-09-06,North,8.2,430.1,Autumn
2020-09-07,North,8.1,433.9,Autumn
2020-09-08,North,7.1,497.5,Autumn
2020-09-09,North,6.8,514.8,Autumn
2020-09-10,North,5.2,616.9,Autumn
2020-09-11,North,9.2,376.5,Autumn
2020-09-12,North,6.9,502.2,Autumn
2020-09-13,North,7.3,481.1,Autumn
2020-09-14,North,7.3,472.5,Autumn
2020-09-15,North,8.7,406.7,Autumn
2020-09-16,North,9.5,362.9,Autumn
2020-09-17,North,11.0,297.8,Autumn
2020-09-18,North,7.4,473.0,Autumn
2020-09-19,North,6.1,558.1,Autumn
2020-09-20,North,9.1,380.5,Autumn
2020-09-21,North,9.2,373.1,Autumn
2020-09-22,North,10.5,312.6,Autumn
2020-09-23,North,8.3,428.0,Autumn
2020-09-24,North,7.9,448.6,Autumn
2020-09-25,North,6.9,500.8,Autumn
2020-09-26,North,9.8,349.2,Autumn
2020-09-27,North,11.2,284.9,Autumn
2020-09-28,North,10.3,324.0,Autumn
2020-09-29,North,7.5,472.8,Autumn
2020-09-30,North,9.9,344.7,Autumn
2020-10-01,North,10.9,294.3,Autumn
2020-10-02,North,6.8,515.4,Autumn
2020-10-03,North,5.9,571.8,Autumn
2020-10-04,North,5.2,618.0,Autumn
2020-10-05,North,5.7,585.2,Autumn
2020-10-06,North,4.9,637.5,Autumn
2020-10-07,North,3.6,726.4,Autumn
2020-10-08,North,7.0,498.6,Autumn
2020-10-09,North,4.8,640.0,Autumn
2020-10-10,North,7.2,487.9,Autumn
2020-10-11,North,12.5,229.4,Autumn
2020-10-12,North,2.8,791.4,Autumn
2020-10-13,North,8.5,412.1,Autumn
2020-10-14,North,8.0,441.0,Autumn
2020-10-15,North,5.8,570.0,Autumn
2020-10-16,North,9.2,380.1,Autumn
2020-10-17,North,9.4,366.9,Autumn
2020-10-18,North,12.1,243.5,Autumn
2020-10-19,North,5.5,594.3,Autumn
2020-10-20,North,12.1,245.0,Autumn
2020-10-21,North,6.1,559.2,Autumn
2020-10-22,North,9.6,357.1,Autumn
2020-10-23,North,7.7,457.6,Autumn
2020-10-24,North,10.6,308.8,Autumn
2020-10-25,North,6.6,522.5,Autumn
2020-10-26,North,9.2,383.2,Autumn
2020-10-27,North,9.5,369.3,Autumn
2020-10-28,North,9.7,348.8,Autumn
2020-10-29,North,9.3,377.7,Autumn
2020-10-30,North,10.1,335.5,Autumn
2020-10-31,North,6.9,504.6,Autumn
2020-11-01,North,8.6,410.5,Autumn
2020-11-02,North,11.2,282.7,Autumn
2020-11-03,North,11.9,255.4,Autumn
2020-11-04,North,9.1,381.7,Autumn
2020-11-05,North,5.7,585.7,Autumn
2020-11-06,North,9.5,364.2,Autumn
2020-11-07,North,11.2,283.7,Autumn
2020-11-08,North,10.5,320.4,Autumn
2020-11-09,North,10.1,337.3,Autumn
2020-11-10,North,6.7,515.7,Autumn
2020-11-11,North,14.3,170.6,Autumn
2020-11-12,North,10.2,332.7,Autumn
2020-11-13,North,10.5,311.3,Autumn
2020-11-14,North,11.2,281.0,Autumn
2020-11-15,North,9.3,368.3,Autumn
2020-11-16,North,15.1,146.3,Autumn
2020-11-17,North,10.1,334.6,Autumn
2020-11-18,North,12.0,248.1,Autumn
2020-11-19,North,13.4,198.4,Autumn
2020-11-20,North,8.4,415.2,Autumn
2020-11-21,North,9.2,377.2,Autumn
2020-11-22,North,10.9,299.1,Autumn
2020-11-23,North,15.0,144.8,Autumn
2020-11-24,North,11.0,290.6,Autumn
2020-11-25,North,12.7,221.9,Autumn
2020-11-26,North,10.5,315.5,Autumn
2020-11-27,North,10.3,325.8,Autumn
2020-11-28,North,13.2,203.0,Autumn
2020-11-29,North,12.6,229.8,Autumn
2020-11-30,North,10.8,299.3,Autumn
2020-12-01,North,14.1,171.7,Winter
2020-12-02,North,9.3,373.8,Winter
2020-12-03,North,11.3,285.9,Winter
2020-12-04,North,13.6,193.4,Winter
2020-12-05,North,16.8,98.6,Winter
2020-12-06,North,11.8,254.6,Winter
2020-12-07,North,13.6,195.8,Winter
2020-12-08,North,20.7,51.0,Winter
2020-12-09,North,11.2,282.4,Winter
2020-12-10,North,17.3,96.3,Winter
2020-12-11,North,16.4,109.4,Winter
2020-12-12,North,15.8,131.6,Winter
2020-12-13,North,19.0,68.7,Winter
2020-12-14,North,16.8,103.5,Winter
2020-12-15,North,14.3,166.2,Winter
2020-12-16,North,14.1,174.4,Winter
2020-12-17,North,15.0,152.4,Winter
2020-12-18,North,18.2,79.8,Winter
2020-12-19,North,15.7,128.5,Winter
2020-12-20,North,17.9,81.3,Winter
2020-12-21,North,15.8,122.8,Winter
2020-12-22,North,13.5,201.1,Winter
2020-12-23,North,18.1,78.1,Winter
2020-12-24,North,18.3,77.4,Winter
2020-12-25,North,16.5,110.5,Winter
2020-12-26,North,17.5,88.4,Winter
2020-12-27,North,14.7,155.6,Winter
2020-12-28,North,15.8,125.7,Winter
2020-12-29,North,16.8,104.9,Winter
2020-12-30,North,16.8,109.1,Winter
2020-12-31,North,23.1,52.4,Winter
2021-01-01,North,18.7,71.5,Winter
2021-01-02,North,16.5,108.2,Winter
2021-01-03,North,17.2,97.4,Winter
2021-01-04,North,22.2,48.4,Winter
2021-01-05,North,19.3,65.3,Winter
2021-01-06,North,17.6,88.1,Winter
2021-01-07,North,19.1,63.9,Winter
2021-01-08,North,19.5,63.0,Winter
2021-01-09,North,19.3,63.1,Winter
2021-01-10,North,20.6,51.7,Winter
2021-01-11,North,21.3,53.9,Winter
2021-01-12,North,18.2,75.7,Winter
2021-01-13,North,18.4,77.3,Winter
2021-01-14,North,23.8,55.7,Winter
2021-01-15,North,21.9,47.8,Winter
2021-01-16,North,22.7,50.1,Winter
2021-01-17,North,20.4,55.4,Winter
2021-01-18,North,23.2,52.7,Winter
2021-01-19,North,22.9,53.0,Winter
2021-01-20,North,20.4,52.8,Winter
2021-01-21,North,21.7,48.5,Winter
2021-01-22,North,21.1,51.6,Winter
2021-01-23,North,20.8,54.3,Winter
2021-01-24,North,22.9,53.1,Winter
2021-01-25,North,25.6,74.8,Winter
2021-01-26,North,21.1,54.2,Winter
2021-01-27,North,24.6,64.9,Winter
2021-01-28,North,19.6,56.1,Winter
2021-01-29,North,22.7,53.0,Winter
2021-01-30,North,21.2,50.1,Winter
2021-01-31,North,22.7,45.6,Winter
2021-02-01,North,22.8,55.6,Winter
2021-02-02,North,22.7,48.9,Winter
2021-02-03,North,23.8,53.1,Winter
2021-02-04,North,23.9,52.5,Winter
2021-02-05,North,23.2,53.4,Winter
2021-02-06,North,23.3,52.5,Winter
2021-02-07,North,24.9,72.4,Winter
2021-02-08,North,22.9,50.7,Winter
2021-02-09,North,25.9,81.8,Winter
2021-02-10,North,24.8,70.9,Winter
2021-02-11,North,26.2,85.9,Winter
2021-02-12,North,26.0,80.5,Winter
2021-02-13,North,23.5,56.0,Winter
2021-02-14,North,25.8,77.1,Winter
2021-02-15,North,23.7,57.6,Winter
2021-02-16,North,24.8,67.5,Winter
2021-02-17,North,27.4,112.0,Winter
2021-02-18,North,26.2,80.9,Winter
2021-02-19,North,23.3,54.7,Winter
2021-02-20,North,25.4,74.1,Winter
2021-02-21,North,25.8,80.5,Winter
2021-02-22,North,26.3,84.4,Winter
2021-02-23,North,25.2,72.7,Winter
2021-02-24,North,26.0,80.0,Winter
2021-02-25,North,25.5,75.8,Winter
2021-02-26,North,27.5,111.1,Winter
2021-02-27,North,24.3,60.8,Winter
2021-02-28,North,24.6,62.8,Winter
2021-03-01,North,25.9,76.8,Spring
2021-03-02,North,26.4,88.8,Spring
2021-03-03,North,28.2,123.9,Spring
2021-03-04,North,24.3,63.4,Spring
2021-03-05,North,26.5,87.6,Spring
2021-03-06,North,24.5,61.3,Spring
2021-03-07,North,28.6,136.6,Spring
2021-03-08,North,26.4,85.5,Spring
2021-03-09,North,26.0,84.7,Spring
2021-03-10,North,25.4,71.7,Spring
2021-03-11,North,26.0,86.1,Spring
2021-03-12,North,26.2,86.7,Spring
2021-03-13,North,27.4,104.2,Spring
2021-03-14,North,27.5,111.4,Spring
2021-03-15,North,27.4,117.3,Spring
2021-03-16,North,27.0,100.5,Spring
2021-03-17,North,27.5,106.0,Spring
2021-03-18,North,25.8,78.1,Spring
2021-03-19,North,27.9,121.2,Spring
2021-03-20,North,29.8,174.2,Spring
2021-03-21,North,25.6,75.4,Spring
2021-03-22,North,25.3,70.1,Spring
2021-03-23,North,28.3,128.3,Spring
2021-03-24,North,26.2,87.3,Spring
2021-03-25,North,26.9,100.7,Spring
2021-03-26,North,27.9,123.6,Spring
2021-03-27,North,29.6,163.1,Spring
2021-03-28,North,29.3,157.8,Spring
2021-03-29,North,24.9,64.1,Spring
2021-03-30,North,27.7,112.5,Spring
2021-03-31,North,25.1,71.2,Spring
2021-04-01,North,28.8,140.1,Spring
2021-04-02,North,25.7,77.3,Spring
2021-04-03,North,28.0,120.3,Spring
2021-04-04,North,27.2,104.5,Spring
2021-04-05,North,29.3,152.2,Spring
2021-04-06,North,26.5,90.0,Spring
2021-04-07,North,27.8,120.2,Spring
2021-04-08,North,28.0,121.5,Spring
2021-04-09,North,25.0,66.6,Spring
2021-04-10,North,27.2,110.2,Spring
2021-04-11,North,26.9,93.7,Spring
2021-04-12,North,28.8,142.4,Spring
2021-04-13,North,26.4,89.1,Spring
2021-04-14,North,25.3,70.7,Spring
2021-04-15,North,23.2,51.4,Spring
2021-04-16,North,26.0,85.5,Spring
2021-04-17,North,28.0,117.5,Spring
2021-04-18,North,28.8,136.0,Spring
2021-04-19,North,25.1,71.0,Spring
2021-04-20,North,28.8,149.0,Spring
2021-04-21,North,27.3,100.5,Spring
2021-04-22,North,24.6,63.8,Spring
2021-04-23,North,24.6,65.7,Spring
2021-04-24,North,25.6,76.0,Spring
2021-04-25,North,30.1,177.5,Spring
2021-04-26,North,28.4,131.3,Spring
2021-04-27,North,26.7,93.5,Spring
2021-04-28,North,26.2,84.0,Spring
2021-04-29,North,24.8,64.1,Spring
2021-04-30,North,26.0,83.9,Spring
2021-05-01,North,26.3,84.9,Spring
2021-05-02,North,30.1,180.4,Spring
2021-05-03,North,24.7,65.7,Spring
2021-05-04,North,27.5,112.0,Spring
2021-05-05,North,24.7,65.2,Spring
2021-05-06,North,25.3,75.8,Spring
2021-05-07,North,23.3,49.4,Spring
2021-05-08,North,24.7,66.9,Spring
2021-05-09,North,25.2,68.6,Spring
2021-05-10,North,28.5,134.6,Spring
2021-05-11,North,30.1,180.8,Spring
2021-05-12,North,23.2,55.0,Spring
2021-05-13,North,26.6,87.3,Spring
2021-05-14,North,21.3,50.8,Spring
2021-05-15,North,26.9,99.7,Spring
2021-05-16,North,21.4,52.5,Spring
2021-05-17,North,24.5,64.1,Spring
2021-05-18,North,24.1,62.1,Spring
2021-05-19,North,24.6,64.0,Spring
2021-05-20,North,22.2,51.4,Spring
2021-05-21,North,23.5,56.7,Spring
2021-05-22,North,25.7,75.3,Spring
2021-05-23,North,21.3,51.5,Spring
2021-05-24,North,23.1,53.6,Spring
2021-05-25,North,26.6,88.5,Spring
2021-05-26,North,25.2,74.2,Spring
2021-05-27,North,23.3,60.0,Spring
2021-05-28,North,25.4,72.7,Spring
2021-05-29,North,24.6,62.1,Spring
2021-05-30,North,20.9,53.5,Spring
2021-05-31,North,19.2,64.2,Spring
2021-06-01,North,20.3,59.4,Summer
2021-06-02,North,23.0,55.5,Summer
2021-06-03,North,25.1,67.6,Summer
2021-06-04,North,23.4,50.2,Summer
2021-06-05,North,20.5,58.3,Summer
2021-06-06,North,22.0,48.7,Summer
2021-06-07,North,20.7,53.3,Summer
2021-06-08,North,24.4,61.3,Summer
2021-06-09,North,22.9,46.9,Summer
2021-06-10,North,21.5,51.2,Summer
2021-06-11,North,21.5,52.1,Summer
2021-06-12,North,21.5,47.5,Summer
2021-06-13,North,22.1,52.0,Summer
2021-06-14,North,20.6,54.9,Summer
2021-06-15,North,21.5,50.4,Summer
2021-06-16,North,20.3,55.5,Summer
2021-06-17,North,21.7,50.1,Summer
2021-06-18,North,21.4,51.0,Summer
2021-06-19,North,23.6,55.2,Summer
2021-06-20,North,18.5,75.8,Summer
2021-06-21,North,20.2,51.2,Summer
2021-06-22,North,20.6,54.8,Summer
2021-06-23,North,20.7,55.6,Summer
2021-06-24,North,19.2,64.9,Summer
2021-06-25,North,19.2,64.0,Summer
2021-06-26,North,16.0,125.2,Summer
2021-06-27,North,21.6,46.6,Summer
2021-06-28,North,19.0,70.7,Summer
2021-06-29,North,15.4,134.9,Summer
2021-06-30,North,17.6,89.9,Summer
2021-07-01,North,17.5,91.7,Summer
2021-07-02,North,15.6,131.7,Summer
2021-07-03,North,16.7,101.9,Summer
2021-07-04,North,18.7,67.6,Summer
2021-07-05,North,14.6,159.6,Summer
2021-07-06,North,19.0,67.0,Summer
2021-07-07,North,16.9,102.1,Summer
2021-07-08,North,14.9,151.1,Summer
2021-07-09,North,19.8,54.2,Summer
2021-07-10,North,16.9,101.1,Summer
2021-07-11,North,17.2,91.2,Summer
2021-07-12,North,16.4,114.2,Summer
2021-07-13,North,11.6,264.5,Summer
2021-07-14,North,19.3,62.7,Summer
2021-07-15,North,17.5,91.2,Summer
2021-07-16,North,17.3,97.9,Summer
2021-07-17,North,16.6,108.1,Summer
2021-07-18,North,12.2,242.4,Summer
2021-07-19,North,13.9,179.0,Summer
2021-07-20,North,11.7,260.4,Summer
2021-07-21,North,13.1,211.8,Summer
2021-07-22,North,13.8,183.6,Summer
2021-07-23,North,15.9,120.0,Summer
2021-07-24,North,15.9,121.3,Summer
2021-07-25,North,12.6,223.1,Summer
2021-07-26,North,15.3,140.5,Summer
2021-07-27,North,13.3,201.7,Summer
2021-07-28,North,14.4,167.6,Summer
2021-07-29,North,10.7,297.6,Summer
2021-07-30,North,9.4,369.3,Summer
2021-07-31,North,14.9,152.5,Summer
2021-08-01,North,11.8,256.3,Summer
2021-08-02,North,11.8,259.6,Summer
2021-08-03,North,14.8,153.0,Summer
2021-08-04,North,9.5,365.6,Summer
2021-08-05,North,11.6,271.4,Summer
2021-08-06,North,11.8,255.6,Summer
2021-08-07,North,7.8,457.5,Summer
2021-08-08,North,12.0,248.3,Summer
2021-08-09,North,12.6,221.1,Summer
2021-08-10,North,13.5,195.5,Summer
2021-08-11,North,15.7,129.0,Summer
2021-08-12,North,13.4,199.7,Summer
2021-08-13,North,9.0,387.1,Summer
2021-08-14,North,10.8,305.9,Summer
2021-08-15,North,15.3,142.7,Summer
2021-08-16,North,7.4,469.7,Summer
2021-08-17,North,12.5,232.6,Summer
2021-08-18,North,12.4,231.9,Summer
2021-08-19,North,13.2,204.0,Summer
2021-08-20,North,11.6,263.4,Summer
2021-08-21,North,10.3,325.4,Summer
2021-08-22,North,11.9,253.4,Summer
2021-08-23,North,9.2,380.0,Summer
2021-08-24,North,12.9,215.4,Summer
2021-08-25,North,8.9,391.1,Summer
2021-08-26,North,11.4,273.0,Summer
2021-08-27,North,10.0,337.9,Summer
2021-08-28,North,10.3,323.0,Summer
2021-08-29,North,6.4,529.4,Summer
2021-08-30,North,11.0,292.4,Summer
2021-08-31,North,6.3,537.7,Summer
2021-09-01,North,6.9,506.5,Autumn
2021-09-02,North,8.0,441.6,Autumn
2021-09-03,North,9.2,383.0,Autumn
2021-09-04,North,11.0,290.6,Autumn
2021-09-05,North,4.7,651.5,Autumn
2021-09-06,North,8.2,434.4,Autumn
2021-09-07,North,5.3,603.1,Autumn
2021-09-08,North,11.1,290.9,Autumn
2021-09-09,North,9.6,358.7,Autumn
2021-09-10,North,10.2,328.3,Autumn
2021-09-11,North,10.4,322.8,Autumn
2021-09-12,North,6.2,545.3,Autumn
2021-09-13,North,9.9,341.3,Autumn
2021-09-14,North,7.9,449.7,Autumn
2021-09-15,North,5.1,621.9,Autumn
2021-09-16,North,6.5,533.7,Autumn
2021-09-17,North,7.2,488.5,Autumn
2021-09-18,North,9.3,373.9,Autumn
2021-09-19,North,7.4,472.4,Autumn
2021-09-20,North,8.2,425.9,Autumn
2021-09-21,North,5.0,636.9,Autumn
2021-09-22,North,4.3,668.4,Autumn
2021-09-23,North,7.7,462.6,Autumn
2021-09-24,North,8.2,434.5,Autumn
2021-09-25,North,8.8,399.1,Autumn
2021-09-26,North,9.0,390.8,Autumn
2021-09-27,North,6.7,517.2,Autumn
2021-09-28,North,7.5,474.5,Autumn
2021-09-29,North,7.9,450.5,Autumn
2021-09-30,North,7.5,468.1,Autumn
2021-10-01,North,5.0,629.4,Autumn
2021-10-02,North,9.2,383.6,Autumn
2021-10-03,North,3.3,751.1,Autumn
2021-10-04,North,7.4,472.8,Autumn
2021-10-05,North,6.6,531.1,Autumn
2021-10-06,North,8.5,412.1,Autumn
2021-10-07,North,5.8,574.8,Autumn
2021-10-08,North,7.9,448.8,Autumn
2021-10-09,North,8.0,444.6,Autumn
2021-10-10,North,8.2,429.4,Autumn
2021-10-11,North,7.0,501.7,Autumn
2021-10-12,North,10.5,309.9,Autumn
2021-10-13,North,9.9,347.8,Autumn
2021-10-14,North,6.4,534.0,Autumn
2021-10-15,North,7.4,475.7,Autumn
2021-10-16,North,7.8,454.9,Autumn
2021-10-17,North,7.8,447.3,Autumn
2021-10-18,North,8.0,437.3,Autumn
2021-10-19,North,7.6,466.3,Autumn
